G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,E,InnOuts,seasons,latestAge,weight,height,lastG,lastAB,lastR,lastH,last2B,last3B,lastHR,lastRBI,lastSB,lastCS,lastBB
59,100,11,26,3,1,1,11,0,0,7,0,996,10,32,200,72,81,90,8,16,4,0,10,0,0,10
80,163,16,39,8,0,2,11,3,4,11,5,1570,2,29,160,70,86,204,17,45,12,0,13,2,5,12
55,109,11,26,5,0,1,7,2,2,7,3,1050,3,30,160,70,7,0,0,0,0,0,0,0,0,0
68,141,14,35,7,0,1,12,2,2,9,4,1252,4,31,160,70,105,238,26,62,12,2,27,5,2,14
81,203,22,53,12,2,3,23,2,2,14,9,1670,5,32,160,70,136,450,53,128,32,7,65,3,3,37
88,237,26,61,13,2,4,25,2,2,18,11,1881,6,33,160,70,122,410,46,98,22,6,39,0,4,39
92,255,27,63,12,2,5,26,2,2,19,10,1963,7,34,160,70,114,360,33,78,5,2,30,2,3,27
86,237,25,58,11,2,5,24,2,2,18,10,1817,8,35,160,70,46,114,10,23,5,0,13,1,1,7
57,196,17,47,9,0,5,24,0,1,13,3,1387,2,25,225,75,91,303,25,74,13,1,36,0,2,22
40,137,13,34,6,0,4,17,0,0,9,2,978,3,26,225,75,7,19,5,8,2,0,4,0,0,3
39,123,11,29,6,0,3,15,0,0,9,2,898,4,27,225,75,34,83,6,16,4,0,9,0,0,9
51,148,15,40,8,0,4,20,0,0,13,2,1047,5,28,225,75,100,249,30,83,20,0,40,1,0,30
62,188,19,52,11,0,4,25,0,0,19,2,1336,6,29,225,75,118,389,42,111,27,2,51,0,1,50
61,187,18,49,11,0,4,24,0,0,19,2,1324,7,30,225,75,57,178,11,36,9,0,16,0,0,18
65,198,18,51,12,0,4,24,0,0,20,3,1395,8,31,225,75,90,274,20,63,18,0,31,0,1,24
62,188,17,48,11,0,4,23,0,0,18,2,1341,9,32,225,75,39,112,9,24,7,0,10,0,0,10
58,177,16,45,10,0,3,22,0,0,17,2,1267,10,33,225,75,26,81,5,17,4,0,11,0,0,5
