62,188,17,48,11,0,4,23,0,0,18,2,1341,9,32,225,75,39,112,9,24,7,0,3,10,0,0,10
31,65,8,17,3,0,1,8,1,1,4,0,290,4,28,182,70,57,117,7,27,5,0,2,13,1,2,9
45,148,18,40,7,1,2,14,3,2,11,3,1595,5,28,195,73,12,24,2,5,1,1,0,0,0,0,0
19,55,7,14,1,0,1,6,1,1,2,1,352,1,24,200,73,19,55,7,14,1,0,1,6,1,1,2
47,131,13,28,7,0,4,17,2,1,6,3,1395,2,25,200,73,75,207,20,43,13,0,8,28,3,1,11
46,87,9,17,4,0,2,10,1,0,4,2,890,4,27,200,73,73,45,8,5,1,0,0,2,0,0,3
39,76,8,15,3,0,2,10,0,0,4,1,716,5,28,200,73,12,32,5,7,1,0,2,8,0,0,2
43,79,9,18,3,0,2,10,0,0,5,1,761,6,29,200,73,65,95,13,32,5,0,0,12,0,1,13
41,73,8,17,3,0,2,9,0,0,5,1,683,7,30,200,73,29,39,6,10,1,0,1,6,0,0,3
62,209,25,54,8,5,3,14,7,3,12,6,2820,1,25,180,72,62,209,25,54,8,5,3,14,7,3,12
79,228,28,59,13,3,4,25,5,4,19,4,3226,3,27,180,72,57,123,21,25,6,0,1,9,3,1,19
67,190,24,48,10,2,3,20,4,3,16,3,2676,4,28,180,72,31,76,14,17,3,0,2,6,1,1,7
75,193,24,51,9,2,3,21,4,3,15,3,2707,5,29,180,72,105,207,24,61,7,1,0,24,6,1,12
68,158,19,39,7,1,2,16,3,2,13,3,2124,7,31,180,72,12,28,3,3,0,0,0,1,0,0,1
72,176,24,48,9,2,2,19,3,2,15,3,2391,8,33,180,72,105,301,56,105,27,8,4,41,5,7,30
78,195,28,53,10,2,3,21,4,3,18,4,2641,9,34,180,72,119,350,66,94,18,4,8,37,13,5,45
63,142,25,41,6,3,1,20,8,3,16,6,1766,2,26,170,67,124,283,50,82,13,6,3,40,17,6,32
107,305,49,89,15,3,3,33,16,6,28,6,3988,4,28,170,67,155,614,77,179,38,7,7,59,19,10,41
93,274,43,78,13,3,2,30,14,6,25,5,3584,5,29,170,67,40,148,20,37,6,1,1,18,6,5,14
80,233,36,66,11,2,2,25,11,5,22,4,3021,6,30,170,67,15,31,5,4,0,0,0,2,0,1,6
72,209,32,58,10,2,2,22,10,4,20,4,2617,7,31,170,67,24,64,7,14,2,2,0,3,0,1,5
78,226,36,64,12,3,2,24,9,4,21,3,2567,8,32,170,67,123,349,60,108,27,8,3,40,5,4,32
82,224,33,62,11,3,1,24,8,4,20,3,2401,9,33,170,67,115,203,17,46,5,2,0,18,5,1,15
81,219,33,61,11,2,1,22,8,4,20,3,2267,10,34,170,67,74,176,26,48,11,1,2,13,3,5,15
84,182,22,41,8,1,3,15,6,2,19,2,1188,3,28,215,75,146,355,39,72,9,2,7,28,15,4,41
74,172,21,40,8,1,4,15,5,1,17,1,1137,4,29,215,75,47,143,18,39,7,1,6,16,2,0,10
46,164,24,46,10,0,1,18,1,1,21,10,1179,2,24,190,72,86,308,45,85,19,0,3,33,2,3,39
69,252,36,67,12,2,2,27,2,2,30,11,1726,3,25,190,72,114,429,61,108,15,7,4,44,6,3,50
88,329,44,88,15,3,5,34,4,3,39,12,2224,4,26,190,72,146,561,69,153,24,7,14,57,11,7,66
