actual_HR_count
0
2
23
16
21
29
25
22
20
15
10
4
1
0
1
0
0
7
15
44
19
15
28
25
16
6
5
1
0
1
1
0
0
1
3
1
1
2
0
3
12
10
8
1
1
9
5
1
3
2
4
0
0
0
2
0
2
1
0
7
1
0
0
0
4
8
3
3
7
1
0
3
0
2
1
1
7
6
2
4
14
12
1
0
0
0
2
0
0
1
1
0
12
12
7
19
37
24
35
24
7
11
7
6
9
6
6
18
14
6
0
13
8
12
0
20
29
19
19
25
12
15
8
12
3
0
0
3
0
4
0
1
1
8
16
28
8
18
10
7
0
0
0
3
6
0
2
0
1
0
1
1
3
0
6
1
8
17
9
4
7
5
2
1
0
18
18
29
18
21
17
12
0
10
15
3
18
13
8
16
4
16
1
0
16
30
34
22
11
0
2
2
7
7
2
13
5
0
3
9
10
10
5
4
2
2
5
5
7
2
2
0
2
4
0
0
5
6
2
1
0
2
0
1
2
9
8
6
3
6
1
0
9
18
18
26
10
11
14
6
5
4
12
9
7
7
0
1
3
0
0
0
0
1
1
0
3
1
1
0
3
5
1
2
3
5
3
1
0
22
32
28
16
13
6
7
1
8
16
5
0
11
7
9
1
0
0
1
1
0
6
3
14
6
3
1
0
2
7
5
3
6
3
2
6
6
6
12
16
34
31
12
22
21
11
3
4
1
2
1
4
2
1
1
3
27
26
38
16
18
13
21
5
6
0
5
0
22
47
35
27
9
30
2
4
8
15
14
12
15
5
8
8
5
0
8
6
7
6
6
14
22
4
4
3
0
1
4
2
6
4
4
22
27
14
11
1
9
9
10
6
1
3
4
0
0
0
20
9
10
2
0
1
0
0
14
20
22
16
21
22
0
1
0
0
0
9
1
1
14
5
1
10
10
2
0
9
10
15
4
5
2
1
2
2
1
0
1
1
5
2
1
0
0
1
25
42
49
30
33
20
15
17
7
15
8
14
7
15
1
0
11
11
2
35
30
35
0
3
8
4
18
0
19
14
12
24
19
16
19
9
15
18
24
16
7
3
10
4
0
1
0
0
0
0
2
0
1
0
1
9
16
11
16
8
4
19
18
27
18
31
39
28
28
19
1
1
0
15
5
3
2
2
9
6
0
22
0
0
1
0
49
32
33
39
42
9
9
39
52
70
65
32
1
1
6
5
2
1
0
0
0
0
5
7
4
15
4
1
0
18
15
1
5
10
15
10
1
0
0
4
2
2
9
4
3
1
4
2
1
0
6
6
8
9
15
17
9
6
8
3
2
2
1
3
0
0
8
11
4
5
4
1
0
8
1
3
1
1
1
14
3
8
31
27
24
9
23
20
9
19
6
10
23
16
21
20
7
16
24
4
2
12
9
12
10
7
7
8
13
2
0
5
0
0
0
5
2
4
6
0
0
2
2
1
1
2
5
20
20
3
2
0
12
3
0
4
0
9
12
22
11
0
3
1
1
2
3
6
1
2
0
0
6
7
13
4
0
0
3
1
1
0
9
21
21
17
6
10
24
10
9
6
0
1
24
8
14
1
2
2
3
2
0
1
1
7
2
0
2
25
24
19
33
25
46
37
33
42
40
37
34
49
45
45
5
26
28
1
0
0
0
0
0
0
0
2
0
0
0
1
0
0
15
6
4
18
33
34
20
38
43
23
22
32
20
35
12
16
12
4
1
0
0
1
1
4
0
5
3
3
0
4
7
6
3
5
0
1
0
14
12
26
24
7
5
0
13
5
9
9
6
3
13
5
0
2
2
1
7
18
9
2
2
2
0
0
8
8
3
1
0
10
15
23
28
13
13
3
1
1
5
17
1
0
0
0
17
5
28
21
27
31
32
46
20
35
19
3
4
3
4
2
6
13
20
11
13
10
1
1
0
1
3
2
1
11
10
4
0
0
0
0
2
7
1
0
6
8
2
7
15
2
1
1
10
4
13
18
26
29
13
15
0
2
1
0
2
7
10
2
2
2
0
0
9
6
4
3
4
0
2
3
20
16
11
6
2
1
0
3
3
5
5
4
1
1
4
0
0
1
0
25
20
13
6
8
0
8
8
9
3
6
0
7
12
4
14
25
23
14
16
10
32
10
32
25
43
21
10
25
6
9
5
7
1
1
1
0
5
10
12
9
4
1
3
0
1
0
3
25
30
38
44
41
33
42
32
24
38
4
10
11
17
25
10
8
4
6
7
0
6
7
3
0
12
8
